event_id,year,month,event_type,country,region,deaths,people_affected,damage_million_usd,duration_days,area_km2,is_billion_dollar_event
EV001044,1980,1,Wildfire,MG,Africa,65,195938,493.4,7,2355,0
EV001282,1980,1,Drought,HK,Asia,22,1287486,485.0,18,9020,0
EV001527,1980,1,Wildfire,UG,Africa,3,26094,650.5,5,10582,0
EV001654,1980,1,Tornado,KI,Oceania,43,10090,251.7,6,144,0
EV002073,1980,1,Wildfire,LK,Asia,92,90042,502.3,20,6256,0
EV002078,1980,1,Tornado,PE,SouthAmerica,18,17042,437.6,3,5477,0
EV002412,1980,1,Flood,NP,Asia,51,128909,398.6,7,35140,0
EV002452,1980,1,Heatwave,EG,Africa,91,333767,160.8,7,1810,0
EV003174,1980,1,Flood,MG,Africa,246,61228,141.5,10,8880,0
EV003850,1980,1,Wildfire,ZA,Africa,17,155348,1457.7,1,5388,1
EV003868,1980,1,Heatwave,CL,SouthAmerica,521,170987,13.5,11,2334,0
EV000325,1980,2,Wildfire,KZ,Asia,41,31637,3587.3,8,3496,1
EV001288,1980,2,Heatwave,FI,Europe,219,155316,861.2,5,82,0
EV001808,1980,2,Blizzard,CH,Europe,5,30529,443.9,13,2874,0
EV003231,1980,2,Hurricane,FR,Europe,128,321304,7372.0,2,11294,1
EV004063,1980,2,Drought,SZ,Africa,34,639815,392.8,13,1272,0
EV004287,1980,2,Cyclone,SA,Asia,61,470027,8815.4,6,1350,1
EV004412,1980,2,Flood,LA,Asia,131,22205,60.7,6,7882,0
EV000065,1980,3,Wildfire,GR,Europe,28,132611,1573.5,9,1418,1
EV000402,1980,3,Flood,AU,Oceania,190,956486,675.3,5,1793,0
EV000834,1980,3,Cyclone,TJ,Asia,545,443145,3643.7,9,12645,1
EV001491,1980,3,Flood,RO,Europe,81,181239,1664.6,10,14799,1
EV001605,1980,3,Blizzard,ZW,Africa,5,32053,181.7,6,6661,0
EV001758,1980,3,Blizzard,MD,Europe,12,8375,193.0,2,6501,0
EV001863,1980,3,Flood,UG,Africa,1390,268356,255.6,8,1992,0
EV002067,1980,3,Drought,IS,Europe,13,465651,341.9,5,3248,0
EV002760,1980,3,Drought,BR,SouthAmerica,18,5158651,371.1,4,21339,0
EV003282,1980,3,Heatwave,HU,Europe,978,187440,203.3,8,1409,0
EV000948,1980,4,Heatwave,PY,SouthAmerica,121,39725,33.8,13,3479,0
EV001754,1980,4,Flood,ZA,Africa,19,644379,226.1,7,29859,0
EV002229,1980,4,Blizzard,NR,Oceania,3,241718,59.6,3,673,0
EV002718,1980,4,Drought,GW,Africa,9,2483285,2695.8,1,1036,1
EV002923,1980,4,Heatwave,MW,Africa,488,100229,1073.3,9,11440,1
EV003065,1980,4,Blizzard,KI,Oceania,16,190042,70.0,10,6875,0
EV003746,1980,4,Flood,RS,Europe,16,207597,110.5,18,10773,0
EV003921,1980,4,Flood,BE,Europe,57,840527,121.0,11,69920,0
EV004096,1980,4,Drought,GW,Africa,9,553877,1812.0,10,2086,1
EV001049,1980,5,Heatwave,CV,Africa,232,63372,212.4,3,6893,0
EV001317,1980,5,Heatwave,NP,Asia,340,168826,150.9,1,4316,0
EV001371,1980,5,Cyclone,AZ,Asia,495,62017,5505.8,15,4966,1
EV002074,1980,5,Flood,GA,Africa,14,645725,1081.4,2,3259,1
EV002378,1980,5,Flood,NR,Oceania,380,116815,429.4,7,7464,0
EV002666,1980,5,Heatwave,MN,Asia,450,102595,269.8,4,56123,0
EV003583,1980,5,Flood,GH,Africa,252,689668,594.1,3,5276,0
EV003678,1980,5,Flood,ES,Europe,35,120375,319.9,3,2081,0
EV000430,1980,6,Flood,LT,Europe,100,759656,411.1,1,938,0
EV000658,1980,6,Hurricane,AO,Africa,235,112136,4047.0,5,1158,1
EV001163,1980,6,Wildfire,NL,Europe,54,13448,601.2,3,4260,0
EV002231,1980,6,Drought,AT,Europe,27,702924,394.3,10,4967,0
EV002805,1980,6,Wildfire,BE,Europe,45,139199,1330.1,1,3384,1
EV003119,1980,6,Tornado,TD,Africa,2,6679,187.2,3,9715,0
EV003867,1980,6,Blizzard,LR,Africa,20,12241,839.3,8,709,0
EV003898,1980,6,Flood,FM,Oceania,84,128749,697.2,15,1105,0
EV004076,1980,6,Flood,MA,Africa,19,275140,1189.8,2,8583,1
EV004182,1980,6,Wildfire,TR,Asia,5,53023,4269.1,8,855,1
EV004272,1980,6,Drought,BE,Europe,11,405121,1496.2,5,1072,1
EV000362,1980,7,Flood,AS,Oceania,29,355566,227.9,5,85835,0
EV000407,1980,7,Flood,SS,Africa,78,50862,401.3,13,21365,0
EV000422,1980,7,Flood,IS,Europe,224,9016,818.6,1,2506,0
EV000711,1980,7,Hurricane,TO,Oceania,906,55443,1582.3,6,373,1
EV001705,1980,7,Hurricane,UA,Europe,311,1736603,4286.3,4,2131,1
EV001874,1980,7,Wildfire,UZ,Asia,39,16881,1945.6,12,1298,1
EV001987,1980,7,Drought,MD,Europe,38,2627326,762.6,6,4077,0
EV002916,1980,7,Wildfire,NL,Europe,8,10701,1155.7,4,32116,1
EV003084,1980,7,Hurricane,SB,Oceania,11,81831,649.6,1,180,0
EV003237,1980,7,Wildfire,PL,Europe,8,18911,3960.9,7,613,1
EV003517,1980,7,Drought,TL,Asia,4,4941044,601.0,11,2578,0
EV003532,1980,7,Drought,AT,Europe,8,858749,1210.5,6,18969,1
EV001343,1980,8,Drought,SA,Asia,7,302243,1768.7,26,2179,1
EV001779,1980,8,Flood,SD,Africa,287,73688,425.4,6,291,0
EV002226,1980,8,Drought,EC,SouthAmerica,4,624264,677.7,12,684,0
EV002781,1980,8,Drought,AS,Oceania,13,1262520,33.5,11,8318,0
EV004138,1980,8,Wildfire,MK,Europe,0,26379,736.5,3,864,0
EV000124,1980,9,Wildfire,IS,Europe,30,98906,1930.0,5,107003,1
EV000324,1980,9,Flood,CN,Asia,58,1111525,742.0,20,1777,0
EV000493,1980,9,Flood,UY,SouthAmerica,18,1371949,398.5,7,5862,0
EV000832,1980,9,Drought,UA,Europe,6,63564,2182.7,3,1596,1
EV000971,1980,9,Hurricane,VE,SouthAmerica,31,95623,3134.5,3,2847,1
EV001702,1980,9,Flood,FR,Europe,29,37139,365.0,3,3562,0
EV001855,1980,9,Hurricane,FJ,Oceania,95,101406,7459.8,5,10273,1
EV001857,1980,9,Blizzard,UA,Europe,225,8376,102.8,3,22802,0
EV002661,1980,9,Drought,IT,Europe,34,147020,35.0,5,3852,0
EV003340,1980,9,Cyclone,KE,Africa,837,428836,1224.3,3,5886,1
EV003527,1980,9,Heatwave,RU,Europe,176,200733,119.7,21,7144,0
EV000886,1980,10,Blizzard,BO,SouthAmerica,15,9530,794.7,3,4599,0
EV001009,1980,10,Flood,GR,Europe,37,138595,461.8,5,3234,0
EV001132,1980,10,Flood,CA,NorthAmerica,21,343108,1080.1,5,3140,1
EV001432,1980,10,Heatwave,EE,Europe,927,45856,305.4,3,948,0
EV001442,1980,10,Drought,TL,Asia,55,1702856,2247.6,6,2645,1
EV001838,1980,10,Flood,SG,Asia,120,776091,547.4,6,1894,0
EV001974,1980,10,Tornado,EG,Africa,95,3064,462.2,25,789,0
EV002670,1980,10,Drought,TO,Oceania,3,450947,593.5,5,19478,0
EV003589,1980,10,Drought,PE,SouthAmerica,25,1066956,750.2,11,1702,0
EV004193,1980,10,Hurricane,SG,Asia,542,198092,825.1,3,581,0
EV004333,1980,10,Drought,TJ,Asia,9,831265,228.9,4,17437,0
EV000159,1980,11,Flood,CZ,Europe,86,158441,850.8,3,1248,0
EV000226,1980,11,Heatwave,SB,Oceania,248,199797,116.3,4,20986,0
EV000338,1980,11,Flood,ST,Africa,15,381752,610.6,4,3539,0
EV001519,1980,11,Flood,CL,SouthAmerica,810,187461,70.4,2,14385,0
EV001753,1980,11,Heatwave,SL,Africa,263,68550,186.7,8,771,0
EV001937,1980,11,Wildfire,AU,Oceania,48,190172,1897.2,23,9643,1
EV003034,1980,11,Flood,AF,Asia,254,173602,197.7,7,2302,0
EV003213,1980,11,Drought,FI,Europe,63,478996,830.3,3,917,0
EV003224,1980,11,Hurricane,PL,Europe,76,70721,516.4,5,4219,0
EV003380,1980,11,Cyclone,NO,Europe,313,155741,1548.7,3,1329,1
EV003841,1980,11,Drought,RO,Europe,8,535230,1909.9,7,2668,1
EV004257,1980,11,Drought,ZA,Africa,38,288667,1116.7,6,3853,1
EV000287,1980,12,Wildfire,FR,Europe,12,50451,2695.4,6,5374,1
EV000572,1980,12,Tornado,AU,Oceania,63,5861,252.9,2,2112,0
EV001945,1980,12,Tornado,FM,Oceania,0,11975,125.3,11,460,0
EV003284,1980,12,Drought,PY,SouthAmerica,2,1084454,422.2,13,287,0
EV003445,1980,12,Cyclone,CD,Africa,228,166274,5721.7,14,2551,1
EV003463,1980,12,Wildfire,VE,SouthAmerica,22,17733,161.9,6,59698,0
EV004036,1980,12,Hurricane,NA,Africa,87,155296,6565.9,11,4303,1
EV004046,1980,12,Flood,GQ,Africa,494,307445,815.1,3,14112,0
EV004141,1980,12,Flood,DK,Europe,157,47770,603.5,10,1630,0
EV004358,1980,12,Flood,EC,SouthAmerica,18,271930,598.1,9,5450,0
EV004500,1980,12,Heatwave,CD,Africa,731,513320,160.0,2,1902,0
EV001003,1981,1,Flood,CV,Africa,14,23476,992.9,5,3497,0
EV001495,1981,1,Hurricane,DJ,Africa,33,977169,8272.0,5,1090,1
EV002271,1981,1,Flood,NR,Oceania,68,29972,1737.0,3,10801,1
EV002360,1981,1,Flood,NR,Oceania,9,54023,348.6,9,2344,0
EV002685,1981,1,Flood,SN,Africa,76,288864,532.3,2,2613,0
EV003243,1981,1,Drought,MG,Africa,2,535568,302.0,5,2999,0
EV004279,1981,1,Flood,MM,Asia,337,135843,633.2,5,1740,0
EV000172,1981,2,Cyclone,KG,Asia,231,1207424,565.3,5,1945,0
EV000515,1981,2,Flood,SG,Asia,71,333143,288.8,7,927,0
EV000724,1981,2,Wildfire,BY,Europe,5,18187,674.1,7,10823,0
